,Age,CompFreq,CompTotal,ConvertedComp,Country,Gender,YearsCode
156,40.0,Yearly,170000.0,170000.0,United States,Man,22
158,32.0,Yearly,141000.0,141000.0,United States,Man,24
159,24.0,Monthly,2800.0,36324.0,Netherlands,Man,10
160,38.0,Yearly,100000.0,100000.0,Canada,Man,28
163,30.0,Yearly,80000.0,80000.0,United States,Man,18
164,28.0,Yearly,45000.0,48644.0,Germany,Man,15
165,22.0,Yearly,55000.0,41597.0,Canada,Man,7
167,32.0,Yearly,300000.0,300000.0,United States,Man,3
168,26.0,Yearly,130000.0,130000.0,United States,Man,4
169,31.0,Monthly,770000.0,29628.0,Hungary,Man,19
170,51.0,Yearly,80000.0,60505.0,Canada,Man,37
172,22.0,Yearly,70000.0,70000.0,United States,Man,10
173,27.0,Weekly,760.0,41100.0,Netherlands,Man,3
177,26.0,Yearly,80000.0,80000.0,United States,Man,11
178,34.0,Yearly,32000.0,34591.0,Germany,Man,10
180,29.0,Yearly,55000.0,59454.0,Germany,Man,11
183,24.0,Yearly,115000.0,115000.0,United States,Man,14
184,31.0,Monthly,2200.0,28536.0,Slovenia,Man,4
185,43.0,Yearly,125000.0,94539.0,Canada,Man,30
187,30.0,Yearly,49000.0,52968.0,France,,15
193,26.0,Yearly,83450.0,83450.0,United States,Man,13
196,40.0,Yearly,120000.0,129718.0,Netherlands,Man,32
198,53.0,Yearly,105000.0,105000.0,United States,Man,44
201,23.0,Yearly,90000.0,90000.0,United States,Man,7
202,57.0,Yearly,208000.0,208000.0,United States,,33
203,37.0,Yearly,160000.0,160000.0,United States,Man,22
205,35.0,Yearly,90000.0,90000.0,United States,Man,25
206,40.0,Monthly,2100.0,27240.0,Romania,Man,20
207,60.0,Yearly,20000.0,21620.0,Italy,Man,40
208,34.0,Yearly,144000.0,144000.0,United States,Man,26
209,34.0,Yearly,80000.0,80000.0,United States,"Non-binary, genderqueer, or gender non-conforming",6
210,32.0,Yearly,75000.0,81074.0,Germany,Man,11
212,41.0,Yearly,160000.0,160000.0,United States,Man,25
213,34.0,Yearly,170000.0,170000.0,United States,Man,18
215,32.0,Yearly,99600.0,99600.0,United States,Man,4
216,29.0,Yearly,116000.0,87732.0,Canada,Man,9
217,24.0,Yearly,150000.0,113447.0,Canada,Man,6
218,22.0,Monthly,2170.0,28152.0,France,Man,9
219,24.0,Yearly,45000.0,48644.0,France,Man,8
220,29.0,Yearly,65000.0,65000.0,United States,Man,6
221,44.0,Monthly,4500.0,58368.0,Portugal,Man,30
224,30.0,Yearly,34500.0,44595.0,United Kingdom,Man,15
225,24.0,Yearly,840000.0,11728.0,India,Man,5
226,23.0,Yearly,80000.0,80000.0,United States,Man,7
227,32.0,Yearly,140000.0,140000.0,United States,Man,10
229,50.0,Yearly,120000.0,120000.0,United States,Man,37
231,35.0,Yearly,100000.0,100000.0,United States,Man,20
233,35.0,Yearly,50000.0,54049.0,Portugal,Man,21
234,26.0,Yearly,65000.0,65000.0,United States,Man,11
235,26.0,Monthly,45000.0,29088.0,Mexico,Man,10
237,28.0,Yearly,65000.0,65000.0,United States,Man,12
238,59.0,Yearly,130000.0,130000.0,United States,Man,22
239,28.0,Monthly,3000.0,8244.0,Brazil,Man,5
240,37.0,Monthly,25000.0,87552.0,Israel,Man,22
241,29.0,Yearly,102000.0,102000.0,United States,Man,5
245,35.0,Yearly,120000.0,120000.0,United States,Man,20
248,23.0,Yearly,77500.0,77500.0,United States,Man,13
249,28.0,Yearly,80000.0,60505.0,Canada,Man,11
250,27.0,Yearly,122780.0,122780.0,United States,Woman,15
251,44.0,Yearly,450000.0,450000.0,United States,Man,22
252,27.0,Monthly,200000.0,6588.0,Nigeria,Man,3
253,32.0,Monthly,60000.0,38784.0,Mexico,Man,17
254,29.0,Yearly,50000.0,54049.0,Finland,Man,12
255,23.0,Yearly,82000.0,82000.0,United States,Man,6
260,37.0,Yearly,171000.0,171000.0,United States,Man,10
262,33.0,Yearly,75000.0,75000.0,United States,Man,19
263,51.0,Yearly,125000.0,125000.0,United States,Woman,10
265,27.0,Yearly,75000.0,75000.0,United States,Man,3
267,44.0,Monthly,62300.0,76464.0,Sweden,Man,20
269,22.0,Yearly,85000.0,85000.0,United States,Man,3
270,32.0,Monthly,3300.0,42804.0,Austria,Man,18
271,21.0,Yearly,18000.0,23267.0,United Kingdom,Man,2
274,32.0,Monthly,3500.0,45396.0,Belgium,Man,15
275,43.0,Yearly,165000.0,165000.0,United States,Man,34
276,25.0,Yearly,36000.0,36000.0,United States,Man,5
282,28.0,Monthly,2150.0,27888.0,Greece,Man,7
284,28.0,Monthly,1900.0,24648.0,France,Man,13
285,39.0,Yearly,72000.0,72000.0,United States,Man,14
286,40.0,Monthly,2500.0,32424.0,Portugal,Man,20
287,28.0,Yearly,55000.0,41597.0,Canada,Man,4
288,45.0,Monthly,4000.0,51888.0,Greece,Man,24
290,28.0,Yearly,500000.0,51138.0,Sweden,Man,8
291,52.0,Yearly,100000.0,100000.0,United States,Man,43
292,40.0,Monthly,17000.0,33528.0,Turkey,Man,20
293,31.0,Yearly,76000.0,57480.0,Canada,Man,16
294,49.0,Yearly,55000.0,59454.0,France,Man,28
295,42.0,Monthly,2600.0,31200.0,Panama,Man,10
296,27.0,Yearly,80000.0,80000.0,Greece,Man,10
297,24.0,Yearly,75000.0,75000.0,United States,Man,7
298,42.0,Yearly,260000.0,260000.0,United States,Man,28
299,32.0,Yearly,130000.0,130000.0,United States,Man,21
300,42.0,Yearly,100000.0,100000.0,United States,Man,2
301,48.0,Yearly,146400.0,146400.0,United States,Man,32
302,52.0,Yearly,180000.0,136136.0,Canada,Man,24
303,24.0,Yearly,82500.0,82500.0,United States,Man,8
306,59.0,Yearly,170000.0,170000.0,United States,Woman,31
308,27.0,Monthly,960.0,8712.0,Brazil,Man,10
309,30.0,Yearly,98000.0,98000.0,United States,Man,12
312,36.0,Yearly,160000.0,160000.0,United States,Man,29
313,46.0,Yearly,160000.0,160000.0,United States,Man,20
316,48.0,Yearly,100000.0,108098.0,Germany,Man,19
317,49.5,Yearly,95000.0,71850.0,Canada,Man,30
320,24.0,Monthly,25000.0,4188.0,India,Man,1
321,26.0,Yearly,74000.0,55967.0,Canada,Woman,4
322,48.0,Yearly,131800.0,131800.0,United States,Man,37
324,21.0,Monthly,2000.0,24000.0,United States,Woman,4
326,32.0,Monthly,6250.0,17184.0,Brazil,Man,13
327,42.0,Yearly,80000.0,80000.0,United States,Man,35
328,30.0,Yearly,115000.0,115000.0,United States,Man,9
329,37.0,Yearly,120000.0,120000.0,United States,Man,20
333,32.0,Yearly,68000.0,87896.0,United Kingdom,Man,6
334,39.0,Yearly,99000.0,99000.0,United States,Man,4
335,35.0,Yearly,150000.0,150000.0,United States,Man,23
336,24.0,Yearly,74000.0,55967.0,Canada,Man,6
337,27.0,Yearly,60000.0,64859.0,Netherlands,Man,9
338,33.0,Yearly,65000.0,84019.0,United Kingdom,Man,4
339,32.0,Yearly,140000.0,142308.0,Switzerland,Man,18
340,46.0,Yearly,110000.0,110000.0,United States,Man,10
342,26.0,Yearly,69000.0,69000.0,United States,Man,7
343,34.0,Yearly,55000.0,55000.0,United States,Woman,24
346,27.0,Yearly,21000.0,27144.0,United Kingdom,Man,3
347,27.0,Yearly,130000.0,130000.0,United States,Man,13
348,32.0,Yearly,29000.0,31348.0,Estonia,Man,3
350,29.0,Yearly,90000.0,68068.0,Canada,Woman,2
352,25.0,Monthly,25000.0,387780.0,United Kingdom,Man,5
354,23.0,Yearly,125000.0,125000.0,United States,Man,5
357,25.0,Yearly,100000.0,100000.0,United States,Man,5
358,27.0,Monthly,60000.0,14220.0,Philippines,Man,10
359,28.0,Yearly,140000.0,140000.0,United States,Man,10
360,36.0,Yearly,200000.0,200000.0,United States,Man,23
361,40.0,Yearly,90000.0,97288.0,Germany,Man,32
363,29.0,Yearly,90000.0,90000.0,United States,Man,13
367,37.0,Yearly,144000.0,144000.0,United States,Man,22
369,24.0,Yearly,70000.0,52942.0,Canada,Man,15
370,36.0,Yearly,140000.0,140000.0,United States,Man,10
371,33.0,Yearly,55000.0,71093.0,United Kingdom,Man,17
372,40.0,Yearly,180000.0,136136.0,Canada,Man,35
373,29.0,Monthly,13000.0,39492.0,Poland,Man,17
375,49.0,Yearly,90000.0,90000.0,United States,Man,42
376,26.0,Yearly,85000.0,64287.0,Canada,Man,12
377,40.0,Yearly,48500.0,48500.0,United States,Woman,2
378,38.0,Yearly,92300.0,92300.0,United States,Man,15
379,26.0,Yearly,75000.0,56723.0,Canada,Man,8
380,33.0,Monthly,9000.0,24744.0,Brazil,Man,16
381,30.0,Yearly,90000.0,90000.0,United States,Man,12
382,56.0,Yearly,100000.0,75631.0,Canada,Man,40
384,43.0,Yearly,30900.0,39941.0,United Kingdom,Woman,32
387,42.0,Weekly,1100.0,41600.0,Canada,Man,27
388,26.0,Yearly,100000.0,100000.0,United States,Man,14
389,23.0,Yearly,59000.0,44622.0,Canada,Man,8
392,24.0,Monthly,900.0,11676.0,Greece,Man,2
394,44.0,Yearly,107000.0,107000.0,United States,Man,26
397,40.0,Yearly,93840.0,93840.0,United States,Man,22
399,34.0,Yearly,70000.0,46767.0,Australia,Woman,25
400,22.0,Yearly,40000.0,51704.0,United Kingdom,Man,9
401,34.0,Yearly,105000.0,105000.0,United States,Man,11
404,22.0,Monthly,21000.0,325728.0,United Kingdom,Man,6
407,33.0,Yearly,58000.0,43866.0,Canada,Man,16
409,27.0,Yearly,80000.0,60505.0,Canada,Man,11
410,23.0,Monthly,110000.0,216960.0,Turkey,Man,5
411,38.0,Monthly,16000.0,56760.0,Peru,Man,23
412,24.0,Yearly,1700000.0,23735.0,India,Man,8
413,47.0,Yearly,52000.0,39328.0,Canada,Man,36
415,38.0,Yearly,115000.0,115000.0,United States,Man,21
416,40.0,Yearly,95000.0,71850.0,Canada,Man,26
417,38.0,Yearly,104000.0,104000.0,United States,Man,19
419,34.0,Yearly,38500.0,41618.0,Cyprus,Man,17
420,45.0,Yearly,155000.0,117229.0,Canada,Man,
421,26.0,Yearly,47400.0,35849.0,Canada,Man,8
423,27.0,Yearly,105000.0,105000.0,United States,Man,12
427,37.0,Yearly,44000.0,56874.0,United Kingdom,Man,20
428,28.0,Yearly,200000.0,151263.0,Canada,Man,23
429,44.0,Yearly,80000.0,80000.0,United States,Man,22
431,24.0,Monthly,145000.0,9564.0,Sri Lanka,Man,11
432,41.0,Yearly,70000.0,52942.0,Canada,Man,25
433,37.0,Monthly,30000.0,105072.0,Israel,Man,21
434,24.0,Yearly,75000.0,75000.0,United States,Woman,5
435,33.0,Yearly,85000.0,85000.0,United States,Man,6
436,48.0,Yearly,60000.0,77556.0,United Kingdom,Man,8
437,56.0,Yearly,170000.0,170000.0,United States,,44
439,28.0,Monthly,10000.0,27492.0,Brazil,Man,11
440,22.0,Yearly,68000.0,68000.0,United States,Man,9
441,24.0,Yearly,73000.0,55211.0,Canada,Woman,10
442,25.0,Yearly,1100000.0,36456.0,Taiwan,Man,4
443,31.0,Monthly,9985.0,119820.0,United States,Man,14
445,31.0,Yearly,30000.0,32429.0,Italy,Man,18
447,27.0,Yearly,100000.0,100000.0,United States,Man,14
450,26.0,Yearly,56000.0,42354.0,Canada,Man,2
451,22.0,Yearly,65000.0,65000.0,United States,Man,4
453,19.0,Yearly,25000.0,32315.0,United Kingdom,Man,8
454,26.0,Yearly,73000.0,73000.0,United States,Man,9
455,37.0,Yearly,110000.0,110000.0,United States,Man,17
458,38.0,Yearly,150000.0,150000.0,United States,Man,28
459,43.0,Yearly,115000.0,115000.0,United States,Man,20
460,23.0,Yearly,70338.0,70338.0,United States,Man,8
461,43.0,Yearly,154000.0,154000.0,United States,Man,28
463,35.0,Yearly,99000.0,107017.0,Germany,Man,23
464,25.0,Yearly,68000.0,68000.0,United States,Woman,15
467,23.0,Yearly,44000.0,47563.0,Germany,Man,6
469,21.0,Monthly,24000.0,372264.0,United Kingdom,Man,6
470,19.0,Weekly,897.0,33900.0,Canada,Man,5
471,28.0,Yearly,46500.0,50266.0,Germany,Woman,6
472,25.0,Yearly,750000.0,10471.0,India,Man,5
475,28.0,Yearly,36000.0,46533.0,United Kingdom,Man,12
476,24.0,Yearly,108000.0,108000.0,United States,Woman,8
477,31.0,Yearly,118500.0,118500.0,United States,Woman,7
480,33.0,Yearly,60000.0,60000.0,United States,Man,8
481,24.0,Yearly,70000.0,70000.0,United States,Man,5
482,46.0,Yearly,140000.0,140000.0,United States,Man,28
483,49.0,Yearly,102000.0,77144.0,Canada,Man,32
485,34.0,Yearly,65000.0,84019.0,United Kingdom,Man,24
487,39.0,Monthly,1800.0,312.0,Kyrgyzstan,"Woman;Non-binary, genderqueer, or gender non-conforming",4
490,24.0,Yearly,180000.0,180000.0,United States,Man,5
494,33.0,Monthly,3500.0,45396.0,Germany,,18
495,24.0,Yearly,95000.0,95000.0,United States,Man,8
497,40.0,Yearly,115000.0,115000.0,United States,Woman,22
498,31.0,Yearly,140000.0,140000.0,United States,Man,15
499,41.0,Weekly,3120.0,156000.0,United States,Man,33
500,41.0,Yearly,74000.0,55967.0,Canada,Woman,27
502,52.0,Monthly,26000.0,45288.0,Croatia,Man,35
503,24.0,Monthly,500.0,6000.0,Egypt,Woman,6
505,22.0,Yearly,31000.0,40070.0,United Kingdom,Man,8
507,32.0,Yearly,75000.0,81074.0,Germany,Man,14
509,36.0,Yearly,59999.0,59999.0,United States,Woman,4
511,30.0,Yearly,65000.0,84019.0,United Kingdom,Man,6
512,31.0,Yearly,95000.0,71850.0,Canada,Man,12
513,22.0,Monthly,8320.0,25272.0,Poland,Man,4
514,34.0,Monthly,76000.0,14796.0,Argentina,Man,19
515,30.0,Yearly,94530.0,71494.0,Canada,Woman,8
516,27.0,Weekly,1295.0,48950.0,Canada,Man,1
518,35.0,Monthly,90000000.0,25656.0,Iran,Man,8
519,36.0,Yearly,156500.0,156500.0,United States,Man,22
524,40.0,Yearly,175000.0,175000.0,United States,,35
525,31.0,Yearly,98000.0,98000.0,United States,Man,14
526,25.0,Monthly,4500.0,12372.0,Brazil,Man,9
527,33.0,Monthly,3500.0,45396.0,Finland,Man,19
528,50.0,Yearly,140000.0,140000.0,United States,Man,25
529,25.0,Yearly,70000.0,52942.0,Canada,Man,3
530,33.0,Yearly,98000.0,98000.0,United States,Man,9
532,30.0,Yearly,90000.0,90000.0,United States,Man,7
533,46.0,Yearly,50000.0,50000.0,United States,Man,10
534,36.0,Yearly,130000.0,98321.0,Canada,Man,30
535,40.0,Yearly,150000.0,150000.0,United States,Man,32
536,35.0,Yearly,140000.0,151337.0,Ireland,Woman,26
537,26.0,Monthly,950.0,12324.0,Portugal,Man,8
538,32.0,Monthly,32000.0,415092.0,Spain,Man,14
540,23.0,Yearly,60000.0,60000.0,United States,Man,10
542,32.0,Yearly,900000.0,48478.0,Mexico,Man,17
543,33.0,Yearly,140000.0,32070.0,Brazil,Man,17
544,24.0,Yearly,119200.0,119200.0,United States,Man,8
547,24.0,Monthly,3800.0,8544.0,Ghana,Man,7
550,25.0,Yearly,3500.0,575.0,Turkey,Man,6
553,40.0,Yearly,140000.0,32070.0,Brazil,Man,21
555,26.0,Yearly,91000.0,68824.0,Canada,Man,9
556,34.0,Yearly,175000.0,175000.0,United States,Man,18
557,37.0,Yearly,181500.0,137271.0,Canada,Man,23
558,48.0,Yearly,95000.0,95000.0,United States,Man,38
560,27.0,Yearly,88000.0,88000.0,United States,Man,8
561,29.0,Monthly,3300.0,42804.0,Germany,Man,16
562,22.0,Monthly,102000.0,10812.0,Albania,Man,3
564,28.0,Yearly,700000.0,75527.0,Norway,Man,7
565,41.0,Yearly,35000.0,37834.0,Italy,Man,21
566,36.0,Yearly,150000.0,150000.0,United States,Man,25
567,32.0,Monthly,220000.0,17124.0,Pakistan,Man,8
568,32.0,Yearly,56083.0,56083.0,United States,Man,15
569,25.0,Yearly,105000.0,105000.0,United States,Man,8
571,26.0,Monthly,6700.0,8256.0,Morocco,Man,8
572,28.0,Yearly,100000.0,100000.0,United States,Man,10
574,29.0,Yearly,50000.0,54049.0,France,Man,17
575,53.0,Weekly,2250.0,112500.0,United States,Man,38
577,19.0,Monthly,7400.0,88800.0,United States,Man,10
579,49.0,Yearly,130000.0,130000.0,United States,Man,40
581,48.0,Yearly,126000.0,126000.0,United States,Man,37
582,38.0,Yearly,150000.0,150000.0,United States,Man,22
583,30.0,Yearly,120000.0,120000.0,United States,Man,18
584,35.0,Yearly,95000.0,95000.0,United States,Man,20
585,28.0,Yearly,67000.0,67000.0,United States,Man,4
586,52.0,Yearly,150000.0,150000.0,United States,Man,41
588,41.0,Yearly,159000.0,159000.0,United States,Man,29
591,38.0,Yearly,120000.0,120000.0,United States,Man,26
593,37.0,Yearly,150000.0,150000.0,United States,Man,17
594,37.0,Yearly,249000.0,249000.0,United States,Man,20
595,31.0,Yearly,2450000.0,34206.0,India,Man,15
597,24.0,Monthly,1350.0,17508.0,Italy,Man,10
601,40.0,Yearly,35000.0,37834.0,France,Man,4
602,34.0,Yearly,87000.0,87000.0,United States,Man,7
603,27.0,Monthly,3000.0,12624.0,Tunisia,Man,5
604,39.0,Yearly,94000.0,94000.0,United States,Man,12
605,25.0,Monthly,4000.0,51888.0,Germany,Man,5
606,33.0,Yearly,46800.0,35395.0,Canada,Man,6
607,31.0,Yearly,72000.0,72000.0,United States,Man,18
611,30.0,Monthly,14000.0,127056.0,Canada,Man,12
613,35.0,Monthly,4000.0,48000.0,Ecuador,Man,15
614,36.0,Yearly,94000.0,94000.0,United States,Man,13
615,37.0,Yearly,250000.0,250000.0,United States,Man,8
616,27.0,Yearly,112500.0,85085.0,Canada,Man,12
617,37.0,Yearly,52000.0,67215.0,United Kingdom,Woman,23
619,32.0,Monthly,3000.0,38916.0,Italy,Man,13
620,27.0,Monthly,1000000.0,38484.0,Hungary,Man,11
622,26.0,Monthly,30000.0,5028.0,India,Man,7
625,35.0,Yearly,40000.0,30253.0,Canada,Man,10
626,38.0,Yearly,74000.0,74000.0,United States,Man,1
627,49.0,Yearly,100300.0,100300.0,United States,Man,36
628,34.0,Monthly,9000.0,24744.0,Brazil,Man,15
630,37.0,Yearly,72000.0,72000.0,United States,Woman,15
632,25.0,Monthly,2500.0,192.0,Pakistan,Man,6
633,35.0,Monthly,4000.0,51888.0,Germany,Man,20
634,28.0,Yearly,98000.0,98000.0,United States,Man,26
635,46.0,Yearly,200000.0,200000.0,United States,Man,28
638,25.0,Yearly,64400.0,64400.0,United States,Man,12
639,27.0,Monthly,319693.0,38364.0,Haiti,Man,5
641,26.0,Monthly,60000.0,29364.0,Ukraine,Man,10
642,53.0,Yearly,100000.0,75631.0,Canada,Man,25
643,43.0,Monthly,180000.0,35028.0,Argentina,Man,32
648,30.0,Yearly,50000.0,37816.0,Canada,Man,15
650,25.0,Monthly,5500.0,15120.0,Brazil,Man,10
651,36.0,Yearly,200000.0,151263.0,Canada,Man,13
652,22.0,Weekly,325.0,16250.0,United States,Man,8
654,30.0,Yearly,75000.0,76237.0,Switzerland,Man,12
656,35.0,Yearly,150000.0,150000.0,United States,Man,25
659,32.0,Yearly,185000.0,185000.0,United States,Woman,18
664,49.0,Yearly,156000.0,156000.0,United States,Man,37
666,36.0,Yearly,18000.0,23267.0,United Kingdom,Man,11
667,33.0,Yearly,63000.0,81433.0,United Kingdom,Man,17
668,35.0,Yearly,68000.0,73507.0,Germany,Man,10
673,31.0,Yearly,110000.0,110000.0,United States,Woman,10
674,29.0,Yearly,107000.0,107000.0,United States,Man,12
675,31.0,Yearly,150000.0,150000.0,United States,Man,9
676,24.0,Yearly,90000.0,90000.0,United States,Man,13
677,32.0,Yearly,45000.0,45000.0,United States,Man,3
679,56.0,Yearly,175000.0,175000.0,United States,Man,35
680,28.0,Yearly,376000.0,38456.0,Sweden,Man,10
682,33.0,Monthly,4000.0,51888.0,Lithuania,Man,20
685,24.0,Yearly,60000.0,60000.0,United States,Man,6
686,21.0,Yearly,50000.0,50000.0,United States,Man,1
687,33.0,Yearly,45000.0,45000.0,United States,Man,4
690,54.0,Yearly,150000.0,150000.0,United States,Man,30
692,41.0,Yearly,166500.0,166500.0,United States,Man,22
693,49.0,Yearly,112000.0,112000.0,United States,Man,20
694,30.0,Monthly,500.0,6000.0,El Salvador,Man,12
695,28.0,Yearly,65000.0,70264.0,France,Man,12
698,27.0,Yearly,90000.0,90000.0,United States,Man,10
699,37.0,Yearly,43400.0,46915.0,Germany,Man,26
700,30.0,Monthly,61000.0,29436.0,Honduras,Man,11
703,42.0,Yearly,100000.0,75631.0,Canada,Man,20
704,20.0,Yearly,20000.0,25852.0,United Kingdom,Man,9
705,32.0,Yearly,55000.0,55000.0,United States,Man,25
707,33.0,Yearly,118000.0,118000.0,United States,Man,22
708,29.0,Yearly,120000.0,120000.0,United States,Man,5
709,23.0,Monthly,28000.0,14544.0,Czech Republic,Man,4
710,25.0,Yearly,52000.0,52000.0,United States,Man,6
711,26.0,Yearly,30000.0,38778.0,United Kingdom,Man,8
712,28.0,Yearly,52750.0,68184.0,United Kingdom,Man,15
714,44.0,Yearly,100000.0,75631.0,Canada,Man,35
716,51.0,Yearly,170000.0,170000.0,United States,Man,44
720,36.0,Yearly,130000.0,130000.0,United States,Man,12
721,30.0,Yearly,2200000.0,30716.0,India,Man,15
724,45.0,Yearly,350000.0,350000.0,United States,Woman,36
725,23.0,Yearly,145000.0,109665.0,Canada,Man,12
728,24.0,Monthly,200.0,2592.0,Germany,Man,8
729,24.0,Yearly,115000.0,115000.0,United States,Man,14
730,27.0,Yearly,170000.0,170000.0,United States,Man,9
732,35.0,Yearly,90000.0,116333.0,United Kingdom,Man,30
734,30.0,Weekly,2000.0,5400.0,Mexico,Man,10
736,22.0,Monthly,930.0,3300.0,Peru,Man,4
737,54.0,Monthly,10000.0,129720.0,France,Man,38
738,26.0,Yearly,85000.0,85000.0,United States,Man,8
739,50.0,Yearly,120000.0,120000.0,United States,Man,24
740,24.0,Yearly,130000.0,130000.0,United States,Man,6
741,30.0,Yearly,64000.0,64000.0,United States,Man,17
743,34.0,Yearly,195000.0,195000.0,United States,Man,16
744,47.0,Yearly,500000.0,500000.0,United States,Man,38
746,33.0,Yearly,55000.0,55000.0,United States,Woman,10
748,36.0,Yearly,142000.0,142000.0,United States,Man,23
751,24.0,Monthly,23000.0,3852.0,India,Man,8
754,30.0,Yearly,70000.0,52942.0,Canada,Man,4
755,55.0,Monthly,80000.0,138936.0,Denmark,Man,35
756,45.0,Yearly,175000.0,175000.0,United States,Man,35
757,40.0,Yearly,120000.0,120000.0,United States,Man,21
758,23.0,Monthly,1650000.0,13092.0,Lebanon,Man,6
759,43.0,Yearly,83500.0,83500.0,United States,Man,32
764,26.0,Monthly,4300.0,11820.0,Brazil,Man,6
765,24.0,Monthly,1400000.0,4584.0,Uganda,Man,4
766,21.0,Yearly,52000.0,52000.0,United States,Man,3
768,30.0,Yearly,45000.0,48644.0,Italy,Man,14
769,27.0,Yearly,40000.0,43239.0,Spain,Man,10
